Time,Source_IP,Protocol,Status,Confidence,Method
10:49:36,127.0.0.1,tcp,normal,0.59,ml
10:49:36,127.0.0.1,tcp,normal,0.58,ml
10:49:36,127.0.0.1,tcp,normal,0.59,ml
10:49:36,127.0.0.1,tcp,normal,0.58,ml
10:49:36,127.0.0.1,tcp,normal,0.59,ml
10:49:36,127.0.0.1,tcp,normal,0.58,ml
10:49:36,127.0.0.1,tcp,normal,0.59,ml
10:49:36,127.0.0.1,tcp,normal,0.58,ml
10:49:36,127.0.0.1,tcp,normal,0.59,ml
10:49:36,127.0.0.1,tcp,normal,0.58,ml
10:49:36,127.0.0.1,tcp,normal,0.59,ml
10:49:36,127.0.0.1,tcp,normal,0.58,ml
10:49:36,127.0.0.1,tcp,normal,0.59,ml
10:49:36,127.0.0.1,tcp,normal,0.58,ml
10:49:36,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
10:49:37,127.0.0.1,tcp,normal,0.58,ml
10:49:37,127.0.0.1,tcp,normal,0.59,ml
